?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/PATO_0002319>	"A shape with properties between those of a square and those of a circle."	
<http://purl.obolibrary.org/obo/GO_0106027>	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a prolongation or process extending from a neuron, e.g. an axon, or a dendrite."	
<http://purl.obolibrary.org/obo/GO_1904698>	"Any process that stops, prevents or reduces the frequency, rate or extent of acinar cell proliferation."	
<http://purl.obolibrary.org/obo/GO_0071677>	"Any process that increases the rate, frequency or extent of mononuclear cell migration. Mononuclear cell migration is the movement of a mononuclear cell within or between different tissues and organs of the body."	
<http://purl.obolibrary.org/obo/PATO_0002009>	"A shape quality inhering in a bearer by virtue of the degree to which there are subdivisions or offshoots in a bearer entity."	
<http://purl.obolibrary.org/obo/GO_0045933>	"Any process that activates or increases the frequency, rate or extent of muscle contraction."	
<http://purl.obolibrary.org/obo/PATO_0001912>	"A quality of a single process inhering in a bearer by virtue of the state of bearer's mechanical, physical, and biochemical processes."	
<http://purl.obolibrary.org/obo/GO_0014861>	"Any process that modulates the frequency, rate or extent of skeletal muscle contraction by depolarization of muscle membrane and ionic fluxes."	
<http://purl.obolibrary.org/obo/PATO_0070030>	"A neuron projection quality that is a characteristic of neurons with projections that terminate locally rather than distantly."	"ILX:0770103"
<http://purl.obolibrary.org/obo/PATO_0000570>	"A height which is relatively high."	
<http://purl.obolibrary.org/obo/UBERON_8480002>	"A portion of smooth muscle tissue that is part of the thoracic aorta."	
<http://purl.obolibrary.org/obo/PATO_0001071>		
<http://purl.obolibrary.org/obo/PATO_0001164>	"A physical quality which inheres in a bearer by virtue of the bearer's exhibiting density."	
<http://purl.obolibrary.org/obo/PATO_0001821>	"A structural quality inhering in a bearer by virtue of the bearer's having no opening."	
<http://purl.obolibrary.org/obo/PATO_0000972>		
<http://purl.obolibrary.org/obo/PATO_0002382>	"A waxiness which is relatively high."	
<http://purl.obolibrary.org/obo/UBERON_0004226>	"A portion of smooth muscle tissue that is part of a digestive system [Automatically generated definition]."	"EMAPA:35117 MA:0001523"
<http://purl.obolibrary.org/obo/UBERON_0000066>	"The stage of development at which the animal is fully formed, including immaturity and maturity. Includes both sexually immature stage, and adult stage."	"WBls:0000041 XtroDO:0000084 EFO:0001272 BTO:0001043 BilaDO:0000004 FBdv:00005369"
<http://purl.obolibrary.org/obo/GO_0007276>	"The generation and maintenance of gametes in a multicellular organism. A gamete is a haploid reproductive cell."	
<http://purl.obolibrary.org/obo/GO_1904073>	"Any process that modulates the frequency, rate or extent of trophectodermal cell proliferation."	
<http://purl.obolibrary.org/obo/UBERON_0006909>	"An anatomical space that surrounded_by a digestive tract."	"FMA:45677 BTO:0000349 EMAPA:32908"
<http://purl.obolibrary.org/obo/NCBITaxon_35493>		"GC_ID:1"
<http://purl.obolibrary.org/obo/PATO_0001847>	"A structural quality inhering in a bearer by virtue of the bearer's being drawn together, compressed or squeezed physically."	
<http://purl.obolibrary.org/obo/PATO_0001234>	"A spatial quality inhering in a bearer by virtue of the bearer's being located further from a more centrally located entity."	
<http://purl.obolibrary.org/obo/CL_0002333>	"An adipocyte derived from a neural crest cell."	
<http://purl.obolibrary.org/obo/UBERON_0002553>	"Anatomical space which contains portions of one or more body substances and is bounded by the internal surface of one maximally connected anatomical structure. Examples: cranial cavity, pharyngeal recess space, nasal cavity, tooth socket, cavity of serous sac, lumen of stomach, lumen of artery, fornix of vagina."	"galen:Cavity MA:0002447 FMA:67552 NCIT:C34007 BIRNLEX:1011"
<http://purl.obolibrary.org/obo/GO_0048749>	"The process whose specific outcome is the progression of the compound eye over time, from its formation to the mature structure. The compound eye is an organ of sight that contains multiple repeating units, often arranged hexagonally. Each unit has its own lens and photoreceptor cell(s) and can generate either a single pixelated image or multiple images, per eye."	
<http://purl.obolibrary.org/obo/GO_0003358>	"The process whose specific outcome is the progression of a noradrenergic neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."	
<http://purl.obolibrary.org/obo/GO_0048812>	"The process in which the anatomical structures of a neuron projection are generated and organized. A neuron projection is any process extending from a neural cell, such as axons or dendrites."	
<http://purl.obolibrary.org/obo/GO_1904705>	"Any process that modulates the frequency, rate or extent of vascular smooth muscle cell proliferation."	
<http://purl.obolibrary.org/obo/PR_000018263>	"An organic amino compound that consists of amino acid residues (unmodified amino-acid residues and/or modified amino-acid residues) linked by peptide bonds or derivatives of such bonds."	
<http://purl.obolibrary.org/obo/UBERON_0004176>	"The external genitalia are the outer sex organs, such as the penis or vulva in mammals."	"FMA:45643 SCTID:362207005"
<http://purl.obolibrary.org/obo/GO_0072537>	"A change in the morphology or behavior of a fibroblast resulting from exposure to an activating factor such as a cellular or soluble ligand."	
<http://purl.obolibrary.org/obo/GO_0070446>	"Any process that stops or decreases the rate or extent of oligodendrocyte progenitor proliferation."	
<http://purl.obolibrary.org/obo/PATO_0002462>	"A composition quality inhering in an bearer by virtue of the bearer's consisting of collagen."	
<http://purl.obolibrary.org/obo/GO_0003161>	"The process whose specific outcome is the progression of the cardiac conduction system over time, from its formation to the mature structure. The cardiac conduction system consists of specialized cardiomyocytes that regulate the frequency of heart beat."	
<http://purl.obolibrary.org/obo/GO_0033037>	"Any process in which a polysaccharide is transported to, or maintained in, a specific location."	
<http://purl.obolibrary.org/obo/CHEBI_29067>	"The conjugate base formed when the carboxy group of a carboxylic acid is deprotonated."	
<http://purl.obolibrary.org/obo/CHEBI_35722>		
<http://purl.obolibrary.org/obo/PATO_0001021>	"A physical quality inhering in a bearer by virtue of the bearer's capacity to do work."	
<http://purl.obolibrary.org/obo/GO_0003162>	"The process whose specific outcome is the progression of the atrioventricular (AV) node over time, from its formation to the mature structure. The AV node is part of the cardiac conduction system that controls the timing of ventricle contraction by receiving electrical signals from the sinoatrial (SA) node and relaying them to the His-Purkinje system."	
<http://purl.obolibrary.org/obo/UBERON_0001033>	"The sensory system for the sense of taste."	"BILA:0000143 ZFA:0001101 Wikipedia:Gustatory_system TAO:0001101 MIAA:0000275 AAO:0010577 MAT:0000275 NLXANAT:090803 EFO:0000830 neuronames:2889 SCTID:423940004 FMA:7194 MA:0002446 XAO:0003197"
<http://purl.obolibrary.org/obo/GO_2000137>	"Any process that stops, prevents, or reduces the frequency, rate or extent of cell proliferation involved in heart morphogenesis."	
<http://purl.obolibrary.org/obo/CL_1000310>	"An adipocyte that is part of the epicardial fat of right ventricle."	"FMA:261297"
<http://purl.obolibrary.org/obo/PATO_0001320>	"A pilosity quality of being covered with short hairs or soft down."	
<http://purl.obolibrary.org/obo/PATO_0005006>	"A morphology quality inhering in a bearer by virtue of the bearer's being morphologically distinguishable from another entity."	
<http://purl.obolibrary.org/obo/UBERON_0001416>	"A zone of skin that is part of an abdomen [Automatically generated definition]."	"FMA:22988 FMA:23000 SCTID:361707007 MA:0000523 EFO:0000214 NCIT:C52758"
<http://purl.obolibrary.org/obo/PATO_0002350>	"A spatial quality inhering in a bearer by virtue of the bearer's being located toward the stalk of an organism relative to another entity."	
<http://purl.obolibrary.org/obo/UBERON_0005563>	"Cranial neural crest which gives rise to the trigeminal ganglion."	"EFO:0003484 VHOG:0000269 EMAPA:16170 ZFA:0000080 EHDAA:667 TAO:0000080 EHDAA2:0002083"
<http://purl.obolibrary.org/obo/GO_0051952>	"Any process that modulates the frequency, rate or extent of the directed movement of amines into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	
<http://purl.obolibrary.org/obo/UBERON_0004535>	"Anatomical system that has as its parts the heart and blood vessels."	"VHOG:0000302 MESH:D002319 XAO:0001010 BILA:0000016 EHDAA:394 GAID:467 ZFA:0000010 MIAA:0000016 MA:0000010 XAO:0000100 FMA:7161 AAO:0011001 CALOHA:TS-1297 NCIT:C12686 SCTID:278198007 TAO:0000010 EMAPA:16104 EFO:0000791 EV:0100017 BTO:0000088 WikipediaCategory:Cardiovascular_system MAT:0000016"
<http://purl.obolibrary.org/obo/GO_1901202>	"Any process that stops, prevents or reduces the frequency, rate or extent of extracellular matrix assembly."	
<http://purl.obolibrary.org/obo/CL_1000409>	"A muscle cell that is part of the sinoatrial node."	"FMA:67102"
<http://purl.obolibrary.org/obo/UBERON_0007499>	"An epithelial tube that is open at one end only."	"AEO:0000115 EHDAA2:0003115"
<http://purl.obolibrary.org/obo/GO_0051494>	"Any process that stops, prevents, or reduces the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures."	
<http://purl.obolibrary.org/obo/NCBITaxon_78536>		"GC_ID:1"
<http://purl.obolibrary.org/obo/GO_2000287>	"Any process that activates or increases the frequency, rate or extent of myotome development."	
<http://purl.obolibrary.org/obo/GO_0006893>	"The directed movement of substances from the Golgi to the plasma membrane in transport vesicles that move from the trans-Golgi network to the plasma membrane, where they fuse and release their contents by exocytosis."	
<http://purl.obolibrary.org/obo/UBERON_0005425>	"Portion of tissue that is the inner layer of the optic cup and will become the neural retina."	"EMAPA:16675 ZFA:0001071 EHDAA2:0001304 TAO:0001071 VHOG:0000490"
<http://purl.obolibrary.org/obo/PATO_0000695>	"A quality of a single process inhering in a bearer by virtue of the bearer's occurring or existing at the same time or having the same period or phase."	
<http://purl.obolibrary.org/obo/GO_1904037>	"Any process that activates or increases the frequency, rate or extent of epithelial cell apoptotic process."	
<http://purl.obolibrary.org/obo/UBERON_8000009>	"A collection of Purkinje fibers that receives signals from the right and left bundle branches and innervates the ventricular cardiac muscle. The Purkinje fiber network creates synchronized contractions of the heart ventricles."	
<http://purl.obolibrary.org/obo/GO_1905939>	"Any process that modulates the frequency, rate or extent of gonad development."	
<http://purl.obolibrary.org/obo/PATO_0000353>		
<http://purl.obolibrary.org/obo/PATO_0000220>		
<http://purl.obolibrary.org/obo/PATO_0000486>		
<http://purl.obolibrary.org/obo/CL_0000287>	"Any photoreceptor cell that is part of some eye."	
<http://purl.obolibrary.org/obo/GO_1905148>	"Any process that stops, prevents or reduces the frequency, rate or extent of smooth muscle hypertrophy."	
<http://purl.obolibrary.org/obo/UBERON_0019293>		"BIRNLEX:1069 HBA:265505486 FMA:83942"
<http://purl.obolibrary.org/obo/UBERON_0016888>	"An embryonic anatomical entity that will turn into one or more other anatomical entities, perhaps with other anatomical entities, later in development."	"AEO:0000132"
<http://purl.obolibrary.org/obo/PATO_0001242>	"A physical quality which is equal to the distance between repeating units of a wave pattern."	
<http://purl.obolibrary.org/obo/GO_0006954>	"The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages."	"Wikipedia:Inflammation"
<http://purl.obolibrary.org/obo/UBERON_0001901>	"The epithelial lining of the trachea which contains numerous ciliated cells."	"VHOG:0001045 CALOHA:TS-1061 MA:0001862 EHDAA2:0002069 EMAPA:18409 BTO:0001389 EMAPA:16855 EHDAA:5007 FMA:62015 NCIT:C33797"
<http://purl.obolibrary.org/obo/PATO_0040039>	"A fractured quality that occurs when torque (a rotating force) is applied along the axis of a bone."	
<http://purl.obolibrary.org/obo/UBERON_0001725>	"The cartilaginous joints of the skull; these include sphenoethmoidal synchondrosis, sphenooccipital synchondrosis, sphenopetrosal synchondrosis, petrooccipital synchondrosis, anterior intraoccipital synchondrosis and posterior intraoccipital synchondrosis."	"EMAPA:35264 MA:0001502 FMA:54816 SCTID:314228003"
<http://purl.obolibrary.org/obo/PATO_0000221>		
<http://purl.obolibrary.org/obo/GO_0016057>	"Hyperpolarization (vertebrates) or depolarization (invertebrates) of the photoreceptor cell membrane via closing/opening of cation specific channels as a result of signals generated by rhodopsin activation by a photon."	
<http://purl.obolibrary.org/obo/PATO_0000354>		
<http://purl.obolibrary.org/obo/GO_0051246>	"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving a protein."	
<http://purl.obolibrary.org/obo/GO_0021846>	"The creation of greater cell numbers in the forebrain due to cell division of progenitor cells."	
<http://purl.obolibrary.org/obo/UBERON_0001652>	"The pulmonary artery that supplies the left lung."	"NCIT:C32971 MA:0002032 FMA:50873 galen:LeftPulmonaryArtery SCTID:244234004 Wikipedia:Left_pulmonary_artery"
<http://purl.obolibrary.org/obo/UBERON_0007214>	"Mesenchyme that develops_from a trunk neural crest."	"ZFA:0000999 EMAPA:16182 TAO:0000999 EHDAA2:0002093"
<http://purl.obolibrary.org/obo/PATO_0002516>	"A positional quality inhering in a bearer by virtue of the bearer being hidden from view or covered by another entity."	
<http://purl.obolibrary.org/obo/PATO_0001185>	"A maturity quality inhering in a bearer by virtue of the bearer's indirect development, undergoing metamorphosis."	
<http://purl.obolibrary.org/obo/UBERON_0002345>	"The part of the aorta that extends from the arch of the aorta to the diaphragm, and from which arises numerous branches that supply oxygenated blood to the chest cage and the organs within the chest."	"EFO:0002527 FMA:87217 SCTID:181301002 EMAPA:18605 MA:0002572"
<http://purl.obolibrary.org/obo/PATO_0000484>		
<http://purl.obolibrary.org/obo/UBERON_0001663>	"The cerebral veins are divisible into external and internal groups according to the outer surfaces or the inner parts of the hemispheres they drain into. The external veins are the superior cerebral veins, inferior cerebral veins, and middle cerebral vein. [WP,unvetted]."	"FMA:50981 MESH:D002550 Wikipedia:Cerebral_veins GAID:530 NCIT:C53037 MA:0002096 XAO:0004160 SCTID:244392000"
<http://purl.obolibrary.org/obo/PATO_0002099>	"A cellular quality inhering in a bearer by virtue of its stable specialization to a particular cell type."	
<http://purl.obolibrary.org/obo/PATO_0000351>		
<http://purl.obolibrary.org/obo/GO_0007026>	"Any process that stops, prevents, or reduces the frequency, rate or extent of microtubule depolymerization; prevention of depolymerization of a microtubule can result from binding by 'capping' at the plus end (e.g. by interaction with another cellular protein of structure) or by exposing microtubules to a stabilizing drug such as taxol."	
<http://purl.obolibrary.org/obo/PATO_0002380>	"A female fertility quality inhering in a female by virtue of the bearer's not being capable of reproducing because of surgical removal of ovaries."	
<http://purl.obolibrary.org/obo/PATO_0001724>	"A female receptivity which is relatively low."	
<http://purl.obolibrary.org/obo/GO_0071695>	"A developmental process, independent of morphogenetic (shape) change, that is required for an anatomical structure to attain its fully functional state."	
<http://purl.obolibrary.org/obo/UBERON_0000072>	"An section of a respiratory tract."	"FMA:45660 MA:0000434"
<http://purl.obolibrary.org/obo/PATO_0001936>	"A spheroid quality inhering in a bearer by virtue of the bearer's being egg-shaped and flat, with the narrow end attached to the base."	
<http://purl.obolibrary.org/obo/PATO_0001830>	"A female fertility which is relatively low."	
<http://purl.obolibrary.org/obo/GO_0050773>	"Any process that modulates the frequency, rate or extent of dendrite development."	
<http://purl.obolibrary.org/obo/GO_0097742>	"Centriole assembly in which a centriole arises de novo, rather than by replication from an existing centriole. This process may occur via different mechanisms. Examples include the deuterosome pathway in multicilated epithelial animal cells and formation of centrioles during parthenogenesis in some insects."	
<http://purl.obolibrary.org/obo/PATO_0000485>		
<http://purl.obolibrary.org/obo/PATO_0000352>		
<http://purl.obolibrary.org/obo/PATO_0001856>	"An oriented quality inhering in a bearer by virtue of the bearer's being turned inward upon itself."	
<http://purl.obolibrary.org/obo/GO_0032059>	"A cell extension caused by localized decoupling of the cytoskeleton from the plasma membrane and characterized by rapid formation, rounded shape, and scarcity of organelles within the protrusion. Blebs are formed during apoptosis and other cellular processes, including cell locomotion, cell division, and as a result of physical or chemical stresses."	"Wikipedia:Bleb_(cell_biology)"
<http://purl.obolibrary.org/obo/UBERON_0004293>	"A nerve that is part of a parasympathetic nervous system [Automatically generated definition]."	"VHOG:0000641 SCTID:276146002 EHDAA2:0001401 EMAPA:17271 MA:0000224"
<http://purl.obolibrary.org/obo/PATO_0002306>	"A triangular quality inhering in a bearer by virtue of the bearer's having all sides of the same length."	
<http://purl.obolibrary.org/obo/PATO_0001310>	"A duration quality of a process inhering in a bearer by virtue of the bearer's duration of exhibition of thermal energy."	
<http://purl.obolibrary.org/obo/CHEBI_39144>	"A molecular entity able to provide a pair of electrons and thus capable of forming a covalent bond with an electron-pair acceptor (Lewis acid), thereby producing a Lewis adduct."	
<http://purl.obolibrary.org/obo/CL_0000447>		
<http://purl.obolibrary.org/obo/GO_0010453>	"Any process that modulates the frequency, rate or extent of cell fate commitment. Cell fate commitment is the commitment of cells to specific cell fates and their capacity to differentiate into particular kinds of cells. Positional information is established through protein signals that emanate from a localized source within a cell (the initial one-cell zygote) or within a developmental field."	
<http://purl.obolibrary.org/obo/UBERON_0003128>	"Upper portion of the skull that excludes the mandible (when present in the organism)."	"MAT:0000340 EFO:0000831 BTO:0001328 MA:0000316 MIAA:0000340 FMA:71325 EHDAA:6029 Wikipedia:Cranium_(anatomy) VHOG:0000334 SCTID:181889008"
<http://purl.obolibrary.org/obo/GO_0071711>	"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the basement membrane."	
<http://purl.obolibrary.org/obo/UBERON_0018150>	"A zone of skin that is part of a lower lip."	"SCTID:281630002 FMA:24767"
<http://purl.obolibrary.org/obo/PATO_0002184>	"Cyclic cyclicity inheres in a molecule when the atoms of the molecule do contain at least one cycle in the atom-atom connection paths (through bonds)."	
<http://purl.obolibrary.org/obo/PATO_0001838>	"A flow that is relatively low."	
<http://purl.obolibrary.org/obo/PATO_0000117>	"A morphology quality inhering in a bearer by virtue of the bearer's physical magnitude."	
<http://purl.obolibrary.org/obo/GO_0043434>	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide hormone stimulus. A peptide hormone is any of a class of peptides that are secreted into the blood stream and have endocrine functions in living animals."	
<http://purl.obolibrary.org/obo/GO_0042461>	"Development of a photoreceptor, a cell that responds to incident electromagnetic radiation, particularly visible light."	
<http://purl.obolibrary.org/obo/PATO_0000011>	"A time quality inhering in a bearer by virtue of how long the bearer has existed."	
<http://purl.obolibrary.org/obo/PATO_0002138>	"A physical quality inhering in a bearer by virtue of the bearer's disposition to being fit to be eaten."	
<http://purl.obolibrary.org/obo/PATO_0002190>	"A molecular quality that inheres in a molecular entity by virtue of the presence of a conjugated ring of unsaturated bonds, lone pairs, or empty orbitals that exhibit a stabilization stronger than would be expected by the stabilization of conjugation alone."	
<http://purl.obolibrary.org/obo/GO_0030279>	"Any process that stops, prevents, or reduces the frequency, rate or extent of ossification, the formation of bone or of a bony substance or the conversion of fibrous tissue or of cartilage into bone or a bony substance."	
<http://purl.obolibrary.org/obo/PATO_0000357>		
<http://purl.obolibrary.org/obo/PATO_0000224>		
<http://purl.obolibrary.org/obo/UBERON_0003827>	"A bone that is part of a thorax [Automatically generated definition]."	"MA:0000559 SCTID:426649006"
<http://purl.obolibrary.org/obo/CL_0003001>	"A retinal ganglion cell that has dendrites stratified in two layers of the inner-plexiform layer."	
<http://purl.obolibrary.org/obo/UBERON_0010741>	"A bone that is part of a pectoral complex. Examples: scapula, manus phalanx, any carpal bone, any bone of the pectoral fin."	"MA:0000612 EMAPA:35933"
<http://purl.obolibrary.org/obo/GO_0043473>	"The accumulation of pigment in an organism, tissue or cell, either by increased deposition or by increased number of cells."	
<http://purl.obolibrary.org/obo/PATO_0000515>	"A resistance quality inhering in a bearer by virtue of its disposition to endure or being insensitive to a stimulus."	
<http://purl.obolibrary.org/obo/UBERON_0006596>		"EFO:0003439 TAO:0000568 AAO:0000468 ZFA:0000568"
<http://purl.obolibrary.org/obo/UBERON_0007389>	"A cartilage tissue that is part of a paired limb or fin."	"ZFA:0001543 TAO:0001543"
<http://purl.obolibrary.org/obo/GO_1905139>	"The process that gives rise to the apical ectodermal ridge. This process pertains to the initial formation of a structure from unspecified parts."	
<http://purl.obolibrary.org/obo/PATO_0000947>	"A spheroid quality inhering in a bearer by virtue of the bearer's being oval with two axes of symmetry, as produced by a conical section."	
<http://purl.obolibrary.org/obo/PATO_0002393>	"A tolerance quality inhering in a bearer by virtue of the bearer's increased ability to endure a stimulus."	
<http://purl.obolibrary.org/obo/GO_0016528>	"The cytoplasm of a muscle cell; includes the sarcoplasmic reticulum."	"Wikipedia:Sarcoplasm"
<http://purl.obolibrary.org/obo/CL_4052002>	"A multinucleate cell formed by the fusion of multiple uninuclear cells through plasma membrane fusion. This process leads to a single large cell containing multiple nuclei within a shared cytoplasm."	
<http://purl.obolibrary.org/obo/UBERON_0007280>	"A presumptive structure that has the potential to develop into a endocardium."	"TAO:0002233 ZFA:0001724"
<http://purl.obolibrary.org/obo/PATO_0002293>	"A structural quality inhering in a bearer by virtue of the bearer's underlying structure not changing over time."	
<http://purl.obolibrary.org/obo/PATO_0001556>		
<http://purl.obolibrary.org/obo/GO_1901342>	"Any process that modulates the frequency, rate or extent of vasculature development."	
<http://purl.obolibrary.org/obo/GO_0140029>	"The cellular processes that contribute to exocytosis."	
<http://purl.obolibrary.org/obo/UBERON_0005501>	"A neural tube lateral wall that is part of a rhombomere."	"EMAPA:32819 EMAPA:35364"
<http://purl.obolibrary.org/obo/PATO_0000225>		
<http://purl.obolibrary.org/obo/GO_0060454>	"Any process that increases the rate frequency or extent of gastric secretion. Gastric secretion is the regulated release of gastric acid (hydrochloric acid) by parietal or oxyntic cells during digestion."	
<http://purl.obolibrary.org/obo/PATO_0001981>	"A shape quality inhering in a bearer by virtue of the bearer's having a shape resembling an ear."	
<http://purl.obolibrary.org/obo/PATO_0040037>	"A fractured quality where the fracture runs parallel to the long axis of a bone."	
<http://purl.obolibrary.org/obo/PATO_0000358>		
<http://purl.obolibrary.org/obo/UBERON_8440015>	"Collections of neurons in the central nervous system that have been demonstrated by histochemical fluorescence to contain the neurotransmitter norepinephrine (noradrenalin)."	
<http://purl.obolibrary.org/obo/UBERON_0007808>	"Adipose tissue that is located in the abdominal region. This includes any subcutaneous fat, visceral fat or encapsulated adipose tissue depots."	"EFO:0003771 CALOHA:TS-0002"
<http://purl.obolibrary.org/obo/PATO_0001168>	"A structural quality inhering in a bearer by virtue of not being harmed or injured or spoiled."	
<http://purl.obolibrary.org/obo/PATO_0065001>	"The breakdown, disintegration, destruction of an entity due to the breaking of cell membranes by any means."	
<http://purl.obolibrary.org/obo/CL_0000023>	"A female germ cell that has entered meiosis."	"WBbt:0006797 MESH:D009865 FMA:18644 BTO:0000964 CALOHA:TS-0711"
<http://purl.obolibrary.org/obo/GO_0070091>	"The regulated release of glucagon from secretory granules in the A (alpha) cells of the pancreas (islets of Langerhans)."	
<http://purl.obolibrary.org/obo/GO_1905475>	"Any process that modulates the frequency, rate or extent of protein localization to membrane."	
<http://purl.obolibrary.org/obo/GO_0062237>	"Any process in which a protein is transported to, and/or maintained at the postsynapse, the part of a synapse that is part of the post-synaptic cell."	
<http://purl.obolibrary.org/obo/GO_0110021>	"The multiplication or reproduction of cardiac muscle myoblasts, resulting in the expansion of a cardiac muscle myoblast cell population. A cardiac myoblast is a precursor cell that has been committed to a cardiac muscle cell fate but retains the ability to divide and proliferate throughout life."	
<http://purl.obolibrary.org/obo/PATO_0002295>	"A surface feature shape inhering in a surface by virtue of the bearer's being divided by ridge-like structures into a number of small, irregular spaces."	
<http://purl.obolibrary.org/obo/GO_0042430>	"The chemical reactions and pathways involving compounds that contain an indole (2,3-benzopyrrole) skeleton."	
<http://purl.obolibrary.org/obo/UBERON_0005256>	"Mesenchyme that is part of a developing trunk."	"EFO:0003485 ZFA:0000081 VHOG:0000281 EHDAA2:0002092 EMAPA:16177 TAO:0000081 EHDAA:377"
<http://purl.obolibrary.org/obo/CHEBI_38324>	"Any drug that binds to and activates cholinergic receptors."	
<http://purl.obolibrary.org/obo/UBERON_0003613>	"An elastic tissue that is part of a circulatory system [Automatically generated definition]."	"MA:0002857"
<http://purl.obolibrary.org/obo/PATO_0040041>	"A fractured quality in which the fragment of bone tears away from the main mass of bone as a result of physical trauma."	
<http://purl.obolibrary.org/obo/PATO_0070003>	"A basket cell morphology that inheres in neurons with axonal arbors composed of frequent, short, curvy axonal branches that tend to be near their somata and within the same layer."	"ilxtr:SmallBasketPhenotype"
<http://purl.obolibrary.org/obo/PATO_0000355>		
<http://purl.obolibrary.org/obo/PATO_0000222>		
<http://purl.obolibrary.org/obo/UBERON_0019291>		"HBA:9287 FMA:83939"
<http://purl.obolibrary.org/obo/PATO_0001159>	"A concentration quality inhering in a bearer by virtue of the bearer's exhibiting concentration."	
<http://purl.obolibrary.org/obo/GO_1903018>	"Any process that modulates the frequency, rate or extent of glycoprotein metabolic process."	
<http://purl.obolibrary.org/obo/CL_2000047>	"Any motor neuron that is part of a brainstem."	
<http://purl.obolibrary.org/obo/GO_0021607>	"The process in which the anatomical structure of the accessory nerve is generated and organized. The spinal branch of this motor nerve innervates the trapezius and the sternocleidomastoid muscles. The cranial branch joins the vagus nerve and innervates the same targets as the vagus nerve."	
<http://purl.obolibrary.org/obo/CL_0000154>	"Any secretory cell that is capable of some protein secretion."	
<http://purl.obolibrary.org/obo/PATO_0001874>	"A shape quality inhering in a bearer by virtue of the bearer's being cylindrical, in which the height is less than the diameter."	
<http://purl.obolibrary.org/obo/GO_0009994>	"The process in which a relatively unspecialized immature germ cell acquires the specialized features of a mature female gamete."	
<http://purl.obolibrary.org/obo/GO_0021584>	"The process that gives rise to the pons. This process pertains to the initial formation of a structure from unspecified parts. The pons lies above the medulla and next to the cerebellum. The pons conveys information about movement from the cerebral hemisphere to the cerebellum."	
<http://purl.obolibrary.org/obo/UBERON_0002352>	"An area of conducting tissue between the atria and the ventricles of the heart that conducts the normal electrical impulse from the atria to the ventricles."	"Wikipedia:Atrioventricular_node BTO:0005689 MESH:D001283 TAO:0005070 NCIT:C32161 GAID:558 EMAPA:35153 SCTID:277688002 ZFA:0005070 VHOG:0001474 FMA:9478 EFO:0000276 MA:0000095 MAT:0000498 EHDAA2:0004183"
<http://purl.obolibrary.org/obo/PATO_0001945>	"A moderate yellow-orange to orange color."	
<http://purl.obolibrary.org/obo/PATO_0001961>	"A structural quality inhering in a bearer by virtue of the bearer's touching another entity."	
<http://purl.obolibrary.org/obo/GO_0060044>	"Any process that stops, prevents, or reduces the frequency, rate or extent of cardiac muscle cell proliferation."	
<http://purl.obolibrary.org/obo/NCBITaxon_33317>		"GC_ID:1"
<http://purl.obolibrary.org/obo/PATO_0001611>	"A variability quality inhering in a bearer by virtue of whether the bearer exhibits color variation or change."	
<http://purl.obolibrary.org/obo/CL_0000351>	"An extraembryonic cell that develops from a trophectodermal cell. This cell is found in the outer layer of the blastocyst and can invade other structures in the uterus once the blastocyst implants into the uterine wall. A trophoblast cell is involved in the implantation of the embryo into the uterine wall, placental formation, remodelling of maternal vasculature in the uterus, nutrient and gas exchange, hormone production, and immune modulation to support fetal development."	"https://cellxgene.cziscience.com/cellguide/CL_0000351 FMA:83028"
<http://purl.obolibrary.org/obo/PATO_0000223>		
<http://purl.obolibrary.org/obo/UBERON_0001456>	"A subdivision of the head that has as parts the layers deep to the surface of the anterior surface, including the mouth, eyes, and nose (when present). In vertebrates, this includes the facial skeleton and structures superficial to the facial skeleton (cheeks, mouth, eyeballs, skin of face, etc)."	"MESH:D005145 EMAPA:32763 SCTID:302549007 NCIT:C13071 MA:0002473 CALOHA:TS-2216 HAO:0000316 Wikipedia:Face GAID:64 galen:Face BTO:0003369 FMA:24728"
<http://purl.obolibrary.org/obo/PATO_0001732>	"A quality inhering in a plant by virtue of the bearer's disposition to not shed any body part."	
<http://purl.obolibrary.org/obo/UBERON_0011159>		
<http://purl.obolibrary.org/obo/UBERON_0019292>		"FMA:83940"
<http://purl.obolibrary.org/obo/NCBITaxon_33090>		"PMID:30257078 PMID:16248873 GC_ID:1"
<http://purl.obolibrary.org/obo/GO_0044419>	"Any process evolved to enable an interaction with an organism of a different species."	
<http://purl.obolibrary.org/obo/UBERON_0004830>	"A portion of skeletal muscle tissue that is part of a respiratory system [Automatically generated definition]."	"MA:0001829"
